_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,NAME,UNIT,PHONE,EMAIL,RENTAL,OBJECTID,geometry
11,8106085,563,Spadina Cres,563 Spadina Cres,M5S 2J7,former Toronto,Toronto,University-Rosedale (11),,115001,8106036,563,,,,4427,,,-79.4000649162,43.6604261095,8,Bike Chain U of T,,416-978-6849,bikechain@utoronto.ca  bikechainuoft@gmail.com,NO,10,"{u'type': u'Point', u'coordinates': (-79.4000616727, 43.6604175239)}"
12,773314,1292,Bloor St W,1292 Bloor St W,M6H 1N9,former Toronto,Toronto,Davenport (9),,107010,1144172,1292,,,,458,,,-79.442104678,43.658641007,10,Bike Pirates,,416-555-5555,info@bikepirates.com  volunteer@bikepirates.com,NO,11,"{u'type': u'Point', u'coordinates': (-79.442104676, 43.6586410134)}"
13,10558074,3096,Dundas St W,3096 Dundas St W,M6P 1Z8,former Toronto,Toronto,Parkdale-High Park (4),,115001,10558060,3096,,,,558,,,-79.47299286180001,43.6657617944,11,Bike Place,,416-766-1085,bikeplace@yahoo.ca,NO,12,"{u'type': u'Point', u'coordinates': (-79.4729895933, 43.6657532102)}"
14,776360,235,Broadview Ave,235 Broadview Ave,M4M 2G3,former Toronto,Toronto,Toronto-Danforth (14),,107010,1143632,235,,,,44,,,-79.3509492961,43.662352193800004,12,Bike Sauce,,647-724-7880,info@bikesauce  volunteer@bikesauce.org donate@bikesauce.org,NO,13,"{u'type': u'Point', u'coordinates': (-79.3509460737, 43.6623436086)}"
15,10494142,1970,Yonge St,1970 Yonge St,M4S 1Z7,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,10494141,1970,,,,4733,,,-79.3972465542,43.6998066269,13,Biketoons,,416-587-7204,biketoons@gmail.com,NO,14,"{u'type': u'Point', u'coordinates': (-79.397243308, 43.6997980407)}"
16,765187,309,Augusta Ave,309 Augusta Ave,M5T 2M2,former Toronto,Toronto,University-Rosedale (11),,112001,1144464,309,,,,2918,,,-79.4024979933,43.6567689705,16,Bike On Wheels,,416-966-2453,queenstreet@bikesonwheels.ca,NO,15,"{u'type': u'Point', u'coordinates': (-79.402494756, 43.6567603883)}"
17,14037665,388,Carlaw Ave,388 Carlaw Ave,M4M 2T4,former Toronto,Toronto,Toronto-Danforth (14),,115001,7576988,388,,,,56,,,-79.34228083069999,43.6657372042,17,Biseagal,102-E,416-466-2212,biseagal.info@gmail.com,NO,16,"{u'type': u'Point', u'coordinates': (-79.3422776073, 43.6657286229)}"
18,9446130,345,Sorauren Ave,345 Sorauren Ave,M6R 2G5,former Toronto,Toronto,Parkdale-High Park (4),,115001,9446120,345,,,,4419,,,-79.4440758674,43.6494678218,18,Blacksmith Cycles,"Buzzer #4, 2nd Floor",416-853-9852,info@blacksmithcycle.com,NO,17,"{u'type': u'Point', u'coordinates': (-79.4440726169, 43.6494592425)}"
19,7569328,701,Danforth Ave,701 Danforth Ave,M4J 1L2,former Toronto,Toronto,Toronto-Danforth (14),,107010,14025108,701,,,,86,,,-79.3435721142,43.6789486255,20,Broom Wagon Cyclery,,647-352-6200,broomwagoncyclery@gmail.com,NO,18,"{u'type': u'Point', u'coordinates': (-79.3435688863, 43.6789400397)}"
20,10341122,2447,Bloor St W,2447 Bloor St W,M6S 1P7,former Toronto,Toronto,Parkdale-High Park (4),,115001,10250316,2447,,,,458,,,-79.484354875,43.6490696874,21,Brown's Sport & Cycle,,416-763-4176,info@brownssports.com,NO,19,"{u'type': u'Point', u'coordinates': (-79.4843516071, 43.6490611111)}"
21,3809146,2,Third St,2 Third St,M5J 2A9,former Toronto,Toronto,Spadina-Fort York (10),,100001,3809145,2,,,,9788,,,-79.3539907421,43.6320596647,22,Cappel's Custom Carts,,416-804-0571,mandrasca@gmail.com or butze@rogers.com,NO,20,"{u'type': u'Point', u'coordinates': (-79.3539875189, 43.6320510819)}"
22,5573726,106,Harbord St,106 Harbord St,M5S 1G6,former Toronto,Toronto,University-Rosedale (11),,100001,5573735,106,,,,3605,,,-79.40366786109999,43.66300850100001,25,Chilango Cycles,,416-871-0863,chilangocycles@gmail.com,NO,21,"{u'type': u'Point', u'coordinates': (-79.4036646229, 43.6629999158)}"
23,11046952,1,Howland Rd,1 Howland Rd,M4K 2Z4,former Toronto,Toronto,Toronto-Danforth (14),,115001,14023458,1,,,,3705,,,-79.34678364439999,43.6668568053,26,Cogs Cycle,,416-465-7677,cogscycle@bellnet.ca,NO,22,"{u'type': u'Point', u'coordinates': (-79.3467804159, 43.6668482211)}"
24,14187083,761,Queen St W,761 Queen St W,M6J 1G1,former Toronto,Toronto,Spadina-Fort York (10),,115001,1146191,761,,,,4238,,,-79.4076469915,43.6462765119,27,Community Bicycle Network,101,416-504-2918,info@communitybicyclenetwork.org,NO,23,"{u'type': u'Point', u'coordinates': (-79.4076437488, 43.6462679365)}"
25,3154977,2749,Lake Shore Blvd W,2749 Lake Shore Blvd W,M8V 1H2,Etobicoke,Toronto,Etobicoke-Lakeshore (3),,107005,3154976,2749,,,,1962,,,-79.4985328696,43.6020464129,29,Cycle Butik,,647-258-0012,sales@cyclebutik.com,NO,24,"{u'type': u'Point', u'coordinates': (-79.4985296092, 43.602037848)}"
26,10576723,926,College St,926 College St,M6H 1A4,former Toronto,Toronto,Davenport (9),,115001,10576713,926,,,,9765,,,-79.4258225473,43.653962380699994,30,Cycle Couture,,647-342-1037,info@cyclecouture.ca,NO,25,"{u'type': u'Point', u'coordinates': (-79.4258192957, 43.6539538011)}"
27,11048077,281,Danforth Ave,281 Danforth Ave,M4K 1N2,former Toronto,Toronto,Toronto-Danforth (14),,115001,11048060,281,,,,86,,,-79.3544468629,43.676866796599995,31,Cyclemania,,416-466-0330,lubomirhoferica@gmail.com,NO,26,"{u'type': u'Point', u'coordinates': (-79.3544436409, 43.6768582047)}"
28,773046,863,Bloor St W,863 Bloor St W,M6G 1M4,former Toronto,Toronto,University-Rosedale (11),,107010,1143576,863,,,,458,,,-79.42458458819999,43.6619737753,32,Cyclemania,,416-533-0080,lubomirhoferica@gmail.com,NO,27,"{u'type': u'Point', u'coordinates': (-79.4245813429, 43.6619651907)}"
29,789357,120,D'Arcy St,120 D'Arcy St,M5T 1K3,former Toronto,Toronto,University-Rosedale (11),,100001,14020864,120,,,,3262,,,-79.3969340659,43.6544067483,36,Cyclopedia,,416-268-5667,Cyclopedia@acanac.net,NO,29,"{u'type': u'Point', u'coordinates': (-79.3969308299, 43.6543981699)}"
30,9980656,444,Parliament St,444 Parliament St,M5A 3A2,former Toronto,Toronto,Toronto Centre (13),,115001,14023933,444,,,,4162,,,-79.3680124633,43.663323472399995,37,Cycle Solutions,,416-972-6948,downtown@cycle-solutions.com,NO,30,"{u'type': u'Point', u'coordinates': (-79.3680092358, 43.6633148914)}"
31,14208468,615,Kingston Rd,615 Kingston Rd,M4E 1R3,former Toronto,Toronto,Beaches-East York (19),,107010,20035842,615,,,,3786,,,-79.2984550265,43.6785263938,38,Cycle Solutions,,416-691-0019,beaches@cycle-solutions.com,NO,31,"{u'type': u'Point', u'coordinates': (-79.2984518134, 43.678517803)}"
32,991045,555,Burnhamthorpe Rd,555 Burnhamthorpe Rd,M9C 2Y3,Etobicoke,Toronto,Etobicoke Centre (2),,104008,911713,555,,,,1266,,,-79.5680266542,43.6446521816,39,Daial Cycle and Sports,107,416-620-6900,,NO,32,"{u'type': u'Point', u'coordinates': (-79.5680233623, 43.6446436058)}"
33,782701,254,Christie St,254 Christie St,M6G 3B8,former Toronto,Toronto,University-Rosedale (11),,107010,14012374,254,,,,3165,,,-79.4213856008,43.670592651999996,40,Dave Fix My Bike,,416-944-2453,davidlavin777@gmail.com,NO,33,"{u'type': u'Point', u'coordinates': (-79.4213823543, 43.6705840648)}"
34,30007674,1894,Lawrence Ave E,1894 Lawrence Ave E,M1R 2Y5,Scarborough,Toronto,Scarborough Centre (21),,112001,110485,1894,,,,3828,,,-79.3013774778,43.7443672042,42,D'Ornellas Bike Shop,,416-752-3838,info@dornellas.com,NO,34,"{u'type': u'Point', u'coordinates': (-79.3013742668, 43.7443586006)}"
35,30043278,625,Queen St W,625 Queen St W,M5V 2B7,former Toronto,Toronto,Spadina-Fort York (10),,100001,10475569,625,,,,4238,,,-79.402921674,43.647240785,43,Duke's Cycle,,416-504-6138,info@dukescycle.ca,NO,35,"{u'type': u'Point', u'coordinates': (-79.4029216751, 43.6472407893)}"
36,8731121,3876,Bloor St W,3876 Bloor St W,M9B 1L3,Etobicoke,Toronto,Etobicoke Centre (2),,115001,8731116,3876,,,,458,,,-79.5418188261,43.6407171071,44,Duke's Sports,,416-233-2011,Dukes@SourceForSports.ca,NO,36,"{u'type': u'Point', u'coordinates': (-79.5418155438, 43.6407085361)}"
37,7986312,521,Annette St,521 Annette St,M6P 1S1,former Toronto,Toronto,Parkdale-High Park (4),,115001,7986289,521,,,,2890,,,-79.4796958939,43.659921045699996,46,Espresso Cycles,,647-344-2669,victor@expressocycles.ca,NO,37,"{u'type': u'Point', u'coordinates': (-79.4796926275, 43.6599124658)}"
38,8351143,47,Front St E,47 Front St E,M5E 1B3,former Toronto,Toronto,Toronto Centre (13),,115001,14254949,47,,,,3471,,,-79.3743671466,43.6479315315,47,Europe Bound,,416-601-1990,europeboundsales@gmail.com,NO,38,"{u'type': u'Point', u'coordinates': (-79.3743639101, 43.6479229533)}"
39,7940146,1374,Danforth Ave,1374 Danforth Ave,M4J 1M9,former Toronto,Toronto,Toronto-Danforth (14),,115001,11272165,1374,,,,86,,,-79.32835764640001,43.6826129986,49,Ezriders (Electric Bicycles),,416 461 8989,greg@eziders.ca,NO,39,"{u'type': u'Point', u'coordinates': (-79.3283544299, 43.6826044056)}"
40,8416900,678,Bloor St W,678 Bloor St W,M6G 1L2,former Toronto,Toronto,University-Rosedale (11),,115001,8416891,678,,,,458,,,-79.4167099067,43.6641294718,51,Gallant Bicycles,,416-572-2593,tony@gallantbicycles.com,NO,40,"{u'type': u'Point', u'coordinates': (-79.4167066644, 43.6641208921)}"
41,9340558,1073,College St,1073 College St,M6H 1B2,former Toronto,Toronto,Davenport (9),,115001,9340552,1073,,,,9765,,,-79.4314888158,43.65263276,55,Hoopdriver Bicycles,,647-344-9120,info@hoopdriver.ca,NO,41,"{u'type': u'Point', u'coordinates': (-79.431485573, 43.6526241827)}"
42,9668134,79,Wingold Ave,79 Wingold Ave,M6B 1P8,North York,Toronto,Eglinton-Lawrence (8),,115001,9668079,79,,,,7103,,,-79.45756794100001,43.702181761599995,56,Jamis Bicycles Canada RB inc,10,416-787-4998,rb@rbinc-sports.com,NO,42,"{u'type': u'Point', u'coordinates': (-79.4575646758, 43.7021731732)}"
43,790920,1144,Davenport Rd,1144 Davenport Rd,M6G 2C6,former Toronto,Toronto,Davenport (9),,107010,1141385,1144,,,,3269,,,-79.431229195,43.674882823800004,57,L & J Cycle,,416-656-5293,,NO,43,"{u'type': u'Point', u'coordinates': (-79.4312259482, 43.6748742408)}"
44,54822,1180,Castlefield Ave,1180 Castlefield Ave,M6B 1G1,York,Toronto,Eglinton-Lawrence (8),,113001,7465,1180,,,,488,,,-79.4552114259,43.7002507058,58,La Bicicletta,,416-762-2679 or 1-800-489-8430,info@labicicletta.com,NO,44,"{u'type': u'Point', u'coordinates': (-79.4552081592, 43.7002421204)}"
45,8312916,1611,Dupont St,1611 Dupont St,M6P 3S8,former Toronto,Toronto,Davenport (9),,115001,8312902,1611,,,,3343,,,-79.4547085232,43.664722705100004,59,La Carrera Cycles,,416-538-1203,,NO,45,"{u'type': u'Point', u'coordinates': (-79.4547052617, 43.664714128)}"
46,7552950,127,Ossington Ave,127 Ossington Ave,M6J 2Z6,former Toronto,Toronto,Spadina-Fort York (10),,107010,14018171,127,,,,4125,,,-79.4195702958,43.6471026318,87,The Pedal Stop,,647-352-3240,,NO,46,"{u'type': u'Point', u'coordinates': (-79.4195670532, 43.6470940556)}"
47,9468254,290,Harbord St,290 Harbord St,,former Toronto,Toronto,University-Rosedale (11),,115001,14019957,290,,,,3605,,,-79.4150715011,43.6605655494,88,The Bike Joint,,416-532-6392,service@thebikejoint.com,NO,47,"{u'type': u'Point', u'coordinates': (-79.4150682629, 43.6605569644)}"
48,30058592,355,Lakeshore Ave,355 Lakeshore Ave,,former Toronto,Toronto,Spadina-Fort York (10),TORONTO ISLAND BICYCLE RENTAL,104002,1147814,355,,,,3802,,,-79.371762198,43.617143002,89,Toronto Island Bicycle Rental,,416-203-0009,,YES,48,"{u'type': u'Point', u'coordinates': (-79.3717621921, 43.6171430031)}"
49,7274879,2063,Yonge St,2063 Yonge St,M4S 2A2,former Toronto,Toronto,Toronto-St. Paul's (12),,107010,7274839,2063,,,,4733,,,-79.3970543754,43.702282900200004,90,Trek Bicycle Store of Toronto,,416-481-8735,info@trektoronto.ca,NO,49,"{u'type': u'Point', u'coordinates': (-79.3970511339, 43.7022743091)}"
50,8041184,180,John St,180 John St,M5T 1X5,former Toronto,Toronto,Spadina-Fort York (10),,113001,14676282,180,,,,9747,,,-79.3917559116,43.6506926579,91,Urbane Cyclist,,416-979-9733,ucycle@ucycle.com,NO,50,"{u'type': u'Point', u'coordinates': (-79.3917526706, 43.6506840776)}"
51,8417250,1592,Queen St E,1592 Queen St E,M4L 1G1,former Toronto,Toronto,Toronto-Danforth (14),,115001,8417235,1592,,,,4237,,,-79.3179149832,43.6662232374,92,Velotique,,416-466-3171,saul@velotique.com,NO,51,"{u'type': u'Point', u'coordinates': (-79.3179117709, 43.6662146468)}"
52,8594853,1040,Eglinton Ave W,1040 Eglinton Ave W,M6C 2C5,former Toronto,Toronto,Eglinton-Lawrence (8),,115001,8594649,1040,,,,571,,,-79.4303095464,43.7001842153,93,Vitess,,416-503-8987,testdrive@vitess.com,NO,52,"{u'type': u'Point', u'coordinates': (-79.4303062878, 43.7001756243)}"
53,855697,890,Queen St E,890 Queen St E,M4M 1J3,former Toronto,Toronto,Toronto-Danforth (14),,107010,1143652,890,,,,4237,,,-79.34328362149999,43.6605510757,94,Warren Cycle Works,,416-466-6958,,NO,53,"{u'type': u'Point', u'coordinates': (-79.3432803969, 43.6605424942)}"
54,860888,213,Roncesvalles Ave,213 Roncesvalles Ave,M6R 2L6,former Toronto,Toronto,Parkdale-High Park (4),,107010,1146413,213,,,,4310,,,-79.4485421138,43.6456555498,95,West Side Cycle,,416-531-4648,westsidecycle@rogers.com,NO,54,"{u'type': u'Point', u'coordinates': (-79.4485388589, 43.6456469756)}"
55,13970096,249,Queens Quay W,249 Queens Quay W,M5J 2N5,former Toronto,Toronto,Spadina-Fort York (10),,115001,13969944,249,,,,4244,,,-79.3857144541,43.638658593100004,96,Wheels Excitement Inc.,106,416-260-9000,info@wheelexcitment.com,YES,55,"{u'type': u'Point', u'coordinates': (-79.3857112262, 43.6386500092)}"
56,10250097,2007,Bloor St W,2007 Bloor St W,M6S 1M5,former Toronto,Toronto,Parkdale-High Park (4),,115001,10250099,2007,,,,458,,,-79.4719197062,43.651831156499995,97,Wheels of Bloor,,416-762-9119,wheelsofbloor@bellnet.ca,NO,56,"{u'type': u'Point', u'coordinates': (-79.4719164438, 43.6518225825)}"
57,57457,2055,Dufferin St,2055 Dufferin St,M6E 3R3,York,Toronto,Toronto-St. Paul's (12),,107010,14072115,2055,,,,557,,,-79.44627069159999,43.686754864899996,98,ZM Cycle & Fitness,,416-652-0080,zmcyclefitness@bellnet.ca,NO,57,"{u'type': u'Point', u'coordinates': (-79.4462674376, 43.6867462833)}"
58,8353585,610,Markham St,610 Markham St,M6G 2L8,former Toronto,Toronto,University-Rosedale (11),,115001,8353557,610,,,,3927,,,-79.4124576864,43.6643607073,60,Lapierre Toronto,,416-537-7139,,NO,76,"{u'type': u'Point', u'coordinates': (-79.4124544457, 43.6643521275)}"
59,14228197,625,St Clair Ave W,625 St Clair Ave W,M6C 1A7,former Toronto,Toronto,Toronto-St. Paul's (12),,107010,1140115,625,,,,890,,,-79.42360139270001,43.6818484121,7,Bicycle at St.Clair Inc.,,416-654-6187,bicyclesatstclair@gmail.com,NO,58,"{u'type': u'Point', u'coordinates': (-79.4235981436, 43.6818398277)}"
60,9340728,1639B,Bayview Ave,1639B Bayview Ave,M4G 3B5,East York,Toronto,Don Valley West (15),,115001,9340683,1639,B,,,24,,,-79.3752619523,43.7069022445,50,Flying Wheels,,416-487-5601,flyingwheels@yahoo.ca,NO,59,"{u'type': u'Point', u'coordinates': (-79.3752587165, 43.7068936528)}"
61,773263,1222,Bloor St W,1222 Bloor St W,M6H 1N3,former Toronto,Toronto,Davenport (9),,112001,1144052,1222,,,,458,,,-79.4392332295,43.6593104681,19,Broadway Cycle,,416-531-1028,broadwaycycle@rogers.com,NO,60,"{u'type': u'Point', u'coordinates': (-79.4392299837, 43.6593018854)}"
62,887911,2106,Yonge St,2106 Yonge St,M4S 2A5,former Toronto,Toronto,Toronto-St. Paul's (12),,107010,1138594,2106,,,,4733,,,-79.3979298654,43.702754516400006,35,Cyclepath,,416-487-1717,mike@cyclepathtoronto.com,YES,61,"{u'type': u'Point', u'coordinates': (-79.3979266196, 43.7027459241)}"
63,14244599,383,King St W,383 King St W,M5V 1K1,former Toronto,Toronto,Spadina-Fort York (10),,107010,10222696,383,,,,3780,,,-79.39334281,43.645644388,48,Europe Bound,,416-205-9992,europeboundsales@gmail.com,NO,62,"{u'type': u'Point', u'coordinates': (-79.3933428134, 43.6456443944)}"
64,797220,2170,Dundas St W,2170 Dundas St W,M6R 1X3,former Toronto,Toronto,Parkdale-High Park (4),,107010,1145060,2170,,,,558,,,-79.4504587058,43.653427577200006,64,Mojo Cycles,,416-649-7696,sales@mojocycles.ca,NO,63,"{u'type': u'Point', u'coordinates': (-79.4504554461, 43.6534189956)}"
65,17494,550,Bayview Ave,550 Bayview Ave,M4W 3X8,East York,Toronto,University-Rosedale (11),,113001,30040116,550,,,,24,,,-79.365627973,43.683783348,14,Bike Works,,416-596-7670,bikeworks@evergreen.ca,YES,64,"{u'type': u'Point', u'coordinates': (-79.365627972, 43.68378335)}"
66,7257513,4231,Dundas St W,4231 Dundas St W,M8X 1Y3,Etobicoke,Toronto,Etobicoke-Lakeshore (3),,107010,7257489,4231,,,,558,,,-79.5127505909,43.659502126199996,23,Chain Reaction Bicycles Inc.,,416-234-5300,crbicycles@yahoo.com,NO,65,"{u'type': u'Point', u'coordinates': (-79.5127473166, 43.659493547)}"
67,27233,94,Laird Dr,94 Laird Dr,M4G 3V2,East York,Toronto,Don Valley West (15),,104008,646,94,,,,215,,,-79.3621186439,43.70578466600001,45,Endurosport,,416-449-0432,leaside@endurosport.com,YES,66,"{u'type': u'Point', u'coordinates': (-79.36211541, 43.7057760782)}"
68,8566216,2665,Yonge St,2665 Yonge St,M4P 2J6,former Toronto,Toronto,Don Valley West (15),,115001,8566211,2665,,,,4733,,,-79.3999265672,43.7163721767,83,Sporting Life Store Yonge St. Store,,416-485-1611,,NO,95,"{u'type': u'Point', u'coordinates': (-79.3999233201, 43.7163635824)}"
69,13991469,109,Vanderhoof Ave,109 Vanderhoof Ave,M4G 2H7,East York,Toronto,Don Valley West (15),,113001,286,109,,,,366,,,-79.3591478162,43.7126535349,52,Gears Bike Shop,,647-729-2500 or 1-888-984-3277,ira@gearsbikeshop.com,NO,67,"{u'type': u'Point', u'coordinates': (-79.3591445811, 43.7126449413)}"
70,64182,612,Jane St,612 Jane St,M6S 4A6,York,Toronto,Parkdale-High Park (4),,112001,20004277,612,,,,694,,,-79.4913389443,43.6652570121,67,Newsons,,416-762-9976,info@newsons.ca,NO,68,"{u'type': u'Point', u'coordinates': (-79.4913356738, 43.6652484335)}"
71,30044592,389,Donlands Ave,389 Donlands Ave,M4J 3S2,East York,Toronto,Toronto-Danforth (14),,115001,10269630,389,,,,109,,,-79.34243012,43.693609693,5,Benjamin Sports Sales & Services,,416-429-0493,bikes@benjaminsports.com,NO,69,"{u'type': u'Point', u'coordinates': (-79.3424301238, 43.6936096993)}"
72,856764,779,Queen St W,779 Queen St W,M6J 1G1,former Toronto,Toronto,Spadina-Fort York (10),,107010,1146191,779,,,,4238,,,-79.408160267,43.646211408999996,15,Bikes On Wheels,,647-352-6550,queenstreet@bikesonwheels.ca,NO,70,"{u'type': u'Point', u'coordinates': (-79.4081570302, 43.6462028291)}"
73,11273005,242,Queen St E,242 Queen St E,M5A 1S3,former Toronto,Toronto,Toronto Centre (13),,100001,20006094,242,,,,4237,,,-79.3685949335,43.654993887799996,24,Charlie's Bike Joint,,416-546-2200,charlies@thebikejoint.com,NO,71,"{u'type': u'Point', u'coordinates': (-79.3685917036, 43.6549853025)}"
74,8457257,156,Bathurst St,156 Bathurst St,M5V 2R3,former Toronto,Toronto,Spadina-Fort York (10),,115001,8457245,156,,,,436,,,-79.4039459099,43.6460679537,33,Cyclemotive,,416-916-5551,info@cyclemotive.com,NO,72,"{u'type': u'Point', u'coordinates': (-79.4039426745, 43.6460593763)}"
75,10537069,134,Oakdale Rd,134 Oakdale Rd,M3N 1V9,North York,Toronto,Humber River-Black Creek (7),,115001,14134863,134,,,,6317,,,-79.52673440390001,43.742727441499994,41,Daymak (Electric Bicycles),,416-749-2324,customerservice@daymak.com or sales@daymak.com,NO,73,"{u'type': u'Point', u'coordinates': (-79.5267311192, 43.7427188494)}"
76,10222716,401,King St W,401 King St W,M5V 1K1,former Toronto,Toronto,Spadina-Fort York (10),,115001,10222712,401,,,,3780,,,-79.3939745958,43.6454740783,54,Hogtown Extreme Sports,,416-598-4192,hogtown1@yahoo.ca,NO,74,"{u'type': u'Point', u'coordinates': (-79.3939713606, 43.6454655008)}"
77,14207115,5,Oxford St,5 Oxford St,M5T 1N8,former Toronto,Toronto,University-Rosedale (11),,115001,14021256,5,,,,9778,,,-79.4000011488,43.656537005699995,63,Mike the Bike,,647-344-3570 or 416-595-5596,info@mikethebike.ca,NO,75,"{u'type': u'Point', u'coordinates': (-79.3999979141, 43.6565284268)}"
78,14670935,171,East Liberty St,171 East Liberty St,M6K 3P6,former Toronto,Toronto,Spadina-Fort York (10),,113001,30015173,171,,,,9318,,,-79.417795873,43.638324575,61,Liberty Street Cyclery,125,416-516-8880,info@libertycyclery.com,NO,77,"{u'type': u'Point', u'coordinates': (-79.4177958773, 43.6383245763)}"
79,870810,74,Springhurst Ave,74 Springhurst Ave,M6K 1B8,former Toronto,Toronto,Parkdale-High Park (4),,100001,14036343,74,,,,4434,,,-79.4326391368,43.6338546009,62,MetroCycleTO,,647-771-1650,info@metrocycleto.com,NO,78,"{u'type': u'Point', u'coordinates': (-79.4326358891, 43.6338460234)}"
80,7807900,594,Dundas St W,594 Dundas St W,M5T 1H5,former Toronto,Toronto,University-Rosedale (11),,107010,7807888,594,,,,558,,,-79.40089193989999,43.6524324972,9,Bike House,,416-839-6401,bikehouse.ca@hotmail.com,NO,79,"{u'type': u'Point', u'coordinates': (-79.4008887032, 43.652423919)}"
81,772806,412,Bloor St W,412 Bloor St W,M5S 1X5,former Toronto,Toronto,University-Rosedale (11),,112001,1142919,412,,,,458,,,-79.4080888176,43.665988116899996,28,Curbside Cycle,,416-920-4933 or 1-(866)-920-4933,info@curbside.on.ca info@curbside.on.ca,YES,80,"{u'type': u'Point', u'coordinates': (-79.40808558, 43.6659795335)}"
82,3735246,650,Queen St W,650 Queen St W,M6J 1E4,former Toronto,Toronto,Spadina-Fort York (10),,107010,3735230,650,,,,4238,,,-79.4064455521,43.6469547068,53,Giant Toronto,,416-703-9990,info@gianttoronto.com,NO,81,"{u'type': u'Point', u'coordinates': (-79.4064423087, 43.6469461216)}"
